Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,name
30/10/2021,62239.36328,62330.14453,60918.38672,61888.83203,32157938616,0,0,BTC,Bitcoin
31/10/2021,61850.48828,62406.17188,60074.32813,61318.95703,32241199927,0,0,BTC,Bitcoin
01/11/2021,61320.44922,62419.00391,59695.18359,61004.40625,36150572843,0,0,BTC,Bitcoin
02/11/2021,60963.25391,64242.79297,60673.05469,63226.40234,37746665647,0,0,BTC,Bitcoin
03/11/2021,63254.33594,63516.9375,61184.23828,62970.04688,36124731509,0,0,BTC,Bitcoin
04/11/2021,62941.80469,63123.28906,60799.66406,61452.23047,32615846901,0,0,BTC,Bitcoin
05/11/2021,61460.07813,62541.46875,60844.60938,61125.67578,30605102446,0,0,BTC,Bitcoin
06/11/2021,61068.875,61590.68359,60163.78125,61527.48047,29094934221,0,0,BTC,Bitcoin
07/11/2021,61554.92188,63326.98828,61432.48828,63326.98828,24726754302,0,0,BTC,Bitcoin
08/11/2021,63344.06641,67673.74219,63344.06641,67566.82813,41125608330,0,0,BTC,Bitcoin
09/11/2021,67549.73438,68530.33594,66382.0625,66971.82813,42357991721,0,0,BTC,Bitcoin
10/11/2021,66953.33594,68789.625,63208.11328,64995.23047,48730828378,0,0,BTC,Bitcoin
11/11/2021,64978.89063,65579.01563,64180.48828,64949.96094,35880633236,0,0,BTC,Bitcoin
12/11/2021,64863.98047,65460.81641,62333.91406,64155.94141,36084893887,0,0,BTC,Bitcoin
13/11/2021,64158.12109,64915.67578,63303.73438,64469.52734,30474228777,0,0,BTC,Bitcoin
14/11/2021,64455.37109,65495.17969,63647.80859,65466.83984,25122092191,0,0,BTC,Bitcoin
15/11/2021,65521.28906,66281.57031,63548.14453,63557.87109,30558763548,0,0,BTC,Bitcoin
16/11/2021,63721.19531,63721.19531,59016.33594,60161.24609,46844335592,0,0,BTC,Bitcoin
17/11/2021,60139.62109,60823.60938,58515.41016,60368.01172,39178392930,0,0,BTC,Bitcoin
18/11/2021,60360.13672,60948.5,56550.79297,56942.13672,41388338699,0,0,BTC,Bitcoin
19/11/2021,56896.12891,58351.11328,55705.17969,58119.57813,38702407772,0,0,BTC,Bitcoin
20/11/2021,58115.08203,59859.87891,57469.72656,59697.19531,30624264863,0,0,BTC,Bitcoin
21/11/2021,59730.50781,60004.42578,58618.92969,58730.47656,26123447605,0,0,BTC,Bitcoin
22/11/2021,58706.84766,59266.35938,55679.83984,56289.28906,35036121783,0,0,BTC,Bitcoin
23/11/2021,56304.55469,57875.51563,55632.76172,57569.07422,37485803899,0,0,BTC,Bitcoin
24/11/2021,57565.85156,57803.06641,55964.22266,56280.42578,36635566789,0,0,BTC,Bitcoin
25/11/2021,57165.41797,59367.96875,57146.68359,57274.67969,34284016248,0,0,BTC,Bitcoin
26/11/2021,58960.28516,59183.48047,53569.76563,53569.76563,41810748221,0,0,BTC,Bitcoin
27/11/2021,53736.42969,55329.25781,53668.35547,54815.07813,30560857714,0,0,BTC,Bitcoin
28/11/2021,54813.02344,57393.84375,53576.73438,57248.45703,28116886357,0,0,BTC,Bitcoin
29/11/2021,57291.90625,58872.87891,56792.52734,57806.56641,32370840356,0,0,BTC,Bitcoin
30/11/2021,57830.11328,59113.40234,56057.28125,57005.42578,36708594618,0,0,BTC,Bitcoin
01/12/2021,56907.96484,59041.68359,56553.08203,57229.82813,36858195307,0,0,BTC,Bitcoin
02/12/2021,57217.37109,57349.23438,55895.13281,56477.81641,32379968686,0,0,BTC,Bitcoin
03/12/2021,56509.16406,57482.16797,52496.58594,53598.24609,39789134215,0,0,BTC,Bitcoin
04/12/2021,53727.87891,53904.67969,42874.61719,49200.70313,61385677469,0,0,BTC,Bitcoin
05/12/2021,49201.51953,49768.14844,47857.49609,49368.84766,37198201161,0,0,BTC,Bitcoin
06/12/2021,49413.48047,50929.51953,47281.03516,50582.625,37707308001,0,0,BTC,Bitcoin
07/12/2021,50581.82813,51934.78125,50175.80859,50700.08594,33676814852,0,0,BTC,Bitcoin
08/12/2021,50667.64844,51171.375,48765.98828,50504.79688,28479699446,0,0,BTC,Bitcoin
09/12/2021,50450.08203,50797.16406,47358.35156,47672.12109,29603577251,0,0,BTC,Bitcoin
10/12/2021,47642.14453,50015.25391,47023.69922,47243.30469,30966005122,0,0,BTC,Bitcoin
11/12/2021,47264.63281,49458.21094,46942.34766,49362.50781,25775869261,0,0,BTC,Bitcoin
12/12/2021,49354.85547,50724.86719,48725.85156,50098.33594,21939223599,0,0,BTC,Bitcoin
13/12/2021,50114.74219,50205,45894.84766,46737.48047,32166727776,0,0,BTC,Bitcoin
14/12/2021,46709.82422,48431.39844,46424.49609,46612.63281,34638619079,0,0,BTC,Bitcoin
15/12/2021,48379.75391,49473.95703,46671.96484,48896.72266,36541828520,0,0,BTC,Bitcoin
16/12/2021,48900.46484,49425.57422,47529.87891,47665.42578,27268150947,0,0,BTC,Bitcoin
17/12/2021,47653.73047,48004.89453,45618.21484,46202.14453,32902725329,0,0,BTC,Bitcoin
18/12/2021,46219.25391,47313.82813,45598.44141,46848.77734,26098292690,0,0,BTC,Bitcoin
19/12/2021,46853.86719,48089.66406,46502.95313,46707.01563,25154053861,0,0,BTC,Bitcoin
20/12/2021,46707.0625,47401.71875,45579.80859,46880.27734,30961902129,0,0,BTC,Bitcoin
21/12/2021,46886.07813,49300.91797,46698.77344,48936.61328,27055803928,0,0,BTC,Bitcoin
22/12/2021,48937.09766,49544.79688,48450.94141,48628.51172,24447979559,0,0,BTC,Bitcoin
23/12/2021,48626.34375,51332.33984,48065.83594,50784.53906,28223878108,0,0,BTC,Bitcoin
24/12/2021,50806.05078,51814.02734,50514.49609,50822.19531,24367912228,0,0,BTC,Bitcoin
25/12/2021,50854.91797,51176.59766,50236.70703,50429.85938,19030650914,0,0,BTC,Bitcoin
26/12/2021,50428.69141,51196.37891,49623.10547,50809.51563,20964372926,0,0,BTC,Bitcoin
27/12/2021,50802.60938,51956.32813,50499.46875,50640.41797,24324345758,0,0,BTC,Bitcoin
28/12/2021,50679.85938,50679.85938,47414.21094,47588.85547,33430376883,0,0,BTC,Bitcoin
29/12/2021,47623.87109,48119.74219,46201.49609,46444.71094,30049226299,0,0,BTC,Bitcoin
30/12/2021,46490.60547,47879.96484,46060.3125,47178.125,26686491018,0,0,BTC,Bitcoin
31/12/2021,47169.37109,48472.52734,45819.95313,46306.44531,36974172400,0,0,BTC,Bitcoin
01/01/2022,46311.74609,47827.3125,46288.48438,47686.8125,24582667004,0,0,BTC,Bitcoin
